Beowulf,Seamus Heaney,ficcion,3,034545104X
Batman: Year One,Frank Miller,ficcion,2,155061224
Go Set a Watchman,Harper Lee,ficcion,3,446520802
When You Are Engulfed in Flames,David Sedaris,ficcion,6,052165615X
Daughter of Smoke & Bone,Laini Taylor,ficcion,8,521795028
Red Queen,Victoria Aveyard,ficcion,5,2080674722
The Power of Habit,Charles Duhigg,ficcion,2,3257224281
Midnight in the Garden of Good and Evil,John Berendt,realidad,6,600570967
Hopeless,Colleen Hoover,ficcion,4,038550120X
A Little Princess,Frances Hodgson Burnett,ficcion,7,342310538
The Truth About Forever,Sarah Dessen,ficcion,6,425115801
The horse and his boy,C.S. Lewis,ficcion,4,449006522
Last Sacrifice ,Richelle Mead,ficcion,2,553561618
Little House on the Prairie,Garth Williams,ficcion,1,055356451X
The Velveteen Rabbit,William   Nicholson,ficcion,5,786013990
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,ficcion,7,786014512
The War of the Worlds,Arthur C. Clarke,ficcion,4,60517794
Pretty Little Liars,Sara Shepard,ficcion,4,451192001
Corduroy,Don Freeman,ficcion,3,609801279
The Omnivore's Dilemma,Michael Pollan,ficcion,2,671537458
Life After Life,Kate Atkinson,ficcion,3,679776818
The Rescue,Nicholas Sparks,ficcion,9,943066433
Needful Things,Stephen King,ficcion,8,1570231028
Voyager,Diana Gabaldon,ficcion,7,1885408226
Hamlet,William Shakespeare,ficcion,6,747558167
Cujo,Stephen King,ficcion,5,3442437407
The Virgin Suicides,Jeffrey Eugenides,ficcion,8,033390804X
Dead to the World,Charlaine Harris,ficcion,6,3596218098
Tess of the d'Urbervilles,Thomas Hardy,realidad,10,684867621
Madame Bovary,Gustave Flaubert,ficcion,7,451166892
The Phantom Tollbooth,Jules Feiffer,ficcion,3,8440682697
The Way of Kings,Brandon Sanderson,ficcion,3,034544003X
Club Dead,Charlaine Harris,ficcion,2,380000059
It's Kind of a Funny Story,Ned Vizzini,realidad,4,380711524
Salad and more,Brandon Sanderson,realidad,4,451167317
After You,Jojo Moyes,ficcion,6,451454952
The Language of Flowers,Vanessa Diffenbaugh,ficcion,5,843920262
Batman: The Dark Knight Returns,Frank Miller,ficcion,6,3404122879
The Angel Experiment,James Patterson,ficcion,2,3404182928
High Fidelity,Nick Hornby,ficcion,2,3404611306
The Guardian,Nicholas Sparks,ficcion,1,342662429
Oryx and Crake,Margaret Atwood,ficcion,8,3426690179
Men Are from Mars,John Gray,ficcion,9,3442424216
Kitchen Confidential,Anthony Bourdain,ficcion,6,3442425573
Timeline,Michael Crichton,ficcion,6,3453092007
Candide,Voltaire,ficcion,5,3453157745
Tuck Everlasting,Natalie Babbitt,realidad,5,3453176944
Christine,"Stephen King, Marie Milpois",realidad,0,3453185137
Are You My Mother?,P.D. Eastman,ficcion,3,3453185323
The Story of Art,E.H. Gombrich,ficcion,4,3453213025
